Episode,Reward,Run
1,-500.0,3
2,-500.0,3
3,-500.0,3
4,-500.0,3
5,-500.0,3
6,-500.0,3
7,-500.0,3
8,-500.0,3
9,-500.0,3
10,-500.0,3
11,-500.0,3
12,-500.0,3
13,-500.0,3
14,-500.0,3
15,-500.0,3
16,-500.0,3
17,-500.0,3
18,-500.0,3
19,-500.0,3
20,-500.0,3
21,-500.0,3
22,-500.0,3
23,-500.0,3
24,-500.0,3
25,-500.0,3
26,-500.0,3
27,-500.0,3
28,-500.0,3
29,-500.0,3
30,-500.0,3
31,-500.0,3
32,-500.0,3
33,-500.0,3
34,-500.0,3
35,-500.0,3
36,-500.0,3
37,-500.0,3
38,-500.0,3
39,-500.0,3
40,-500.0,3
41,-500.0,3
42,-500.0,3
43,-500.0,3
44,-500.0,3
45,-500.0,3
46,-500.0,3
47,-500.0,3
48,-500.0,3
49,-500.0,3
50,-500.0,3
51,-500.0,3
52,-500.0,3
53,-500.0,3
54,-500.0,3
55,-500.0,3
56,-500.0,3
57,-500.0,3
58,-500.0,3
59,-500.0,3
60,-500.0,3
61,-500.0,3
62,-500.0,3
63,-500.0,3
64,-500.0,3
65,-500.0,3
66,-500.0,3
67,-500.0,3
68,-500.0,3
69,-500.0,3
70,-500.0,3
71,-500.0,3
72,-500.0,3
73,-500.0,3
74,-500.0,3
75,-500.0,3
76,-500.0,3
77,-500.0,3
78,-500.0,3
79,-500.0,3
80,-500.0,3
81,-500.0,3
82,-500.0,3
83,-500.0,3
84,-500.0,3
85,-500.0,3
86,-500.0,3
87,-500.0,3
88,-500.0,3
89,-500.0,3
90,-500.0,3
91,-500.0,3
92,-500.0,3
93,-500.0,3
94,-500.0,3
95,-500.0,3
96,-500.0,3
97,-500.0,3
98,-500.0,3
99,-500.0,3
100,-500.0,3
101,-500.0,3
102,-500.0,3
103,-500.0,3
104,-500.0,3
105,-500.0,3
106,-500.0,3
107,-500.0,3
108,-500.0,3
109,-500.0,3
110,-500.0,3
111,-500.0,3
112,-500.0,3
113,-500.0,3
114,-500.0,3
115,-500.0,3
116,-500.0,3
117,-500.0,3
118,-500.0,3
119,-500.0,3
120,-500.0,3
121,-500.0,3
122,-500.0,3
123,-500.0,3
124,-500.0,3
125,-500.0,3
126,-500.0,3
127,-500.0,3
128,-500.0,3
129,-500.0,3
130,-500.0,3
131,-500.0,3
132,-500.0,3
133,-500.0,3
134,-500.0,3
135,-500.0,3
136,-500.0,3
137,-500.0,3
138,-500.0,3
139,-500.0,3
140,-500.0,3
141,-500.0,3
142,-500.0,3
143,-500.0,3
144,-500.0,3
145,-500.0,3
146,-500.0,3
147,-500.0,3
148,-500.0,3
149,-500.0,3
150,-500.0,3
151,-500.0,3
152,-500.0,3
153,-500.0,3
154,-500.0,3
155,-500.0,3
156,-500.0,3
157,-500.0,3
158,-500.0,3
159,-500.0,3
160,-500.0,3
161,-500.0,3
162,-500.0,3
163,-500.0,3
164,-500.0,3
165,-500.0,3
166,-500.0,3
167,-500.0,3
168,-324.0,3
169,-500.0,3
170,-500.0,3
171,-500.0,3
172,-500.0,3
173,-500.0,3
174,-500.0,3
175,-500.0,3
176,-500.0,3
177,-500.0,3
178,-500.0,3
179,-500.0,3
180,-500.0,3
181,-500.0,3
182,-500.0,3
183,-500.0,3
184,-500.0,3
185,-500.0,3
186,-500.0,3
187,-500.0,3
188,-500.0,3
189,-500.0,3
190,-500.0,3
191,-500.0,3
192,-500.0,3
193,-500.0,3
194,-500.0,3
195,-500.0,3
196,-500.0,3
197,-500.0,3
198,-500.0,3
199,-500.0,3
200,-500.0,3
201,-500.0,3
202,-500.0,3
203,-500.0,3
204,-500.0,3
205,-500.0,3
206,-500.0,3
207,-500.0,3
208,-500.0,3
209,-500.0,3
210,-500.0,3
211,-500.0,3
212,-500.0,3
213,-500.0,3
214,-500.0,3
215,-500.0,3
216,-500.0,3
217,-500.0,3
218,-500.0,3
219,-500.0,3
220,-500.0,3
221,-500.0,3
222,-500.0,3
223,-339.0,3
224,-500.0,3
225,-500.0,3
226,-500.0,3
227,-500.0,3
228,-500.0,3
229,-500.0,3
230,-500.0,3
231,-500.0,3
232,-500.0,3
233,-500.0,3
234,-500.0,3
235,-500.0,3
236,-500.0,3
237,-306.0,3
238,-500.0,3
239,-500.0,3
240,-143.0,3
241,-500.0,3
242,-327.0,3
243,-500.0,3
244,-500.0,3
245,-500.0,3
246,-399.0,3
247,-500.0,3
248,-319.0,3
249,-500.0,3
250,-500.0,3
251,-328.0,3
252,-500.0,3
253,-500.0,3
254,-352.0,3
255,-151.0,3
256,-332.0,3
257,-500.0,3
258,-349.0,3
