Episode,Reward,Run
1,-500.0,1
2,-500.0,1
3,-500.0,1
4,-500.0,1
5,-500.0,1
6,-500.0,1
7,-500.0,1
8,-500.0,1
9,-500.0,1
10,-500.0,1
11,-500.0,1
12,-500.0,1
13,-500.0,1
14,-500.0,1
15,-500.0,1
16,-500.0,1
17,-500.0,1
18,-500.0,1
19,-500.0,1
20,-500.0,1
21,-500.0,1
22,-500.0,1
23,-500.0,1
24,-500.0,1
25,-500.0,1
26,-500.0,1
27,-500.0,1
28,-500.0,1
29,-500.0,1
30,-500.0,1
31,-500.0,1
32,-500.0,1
33,-500.0,1
34,-500.0,1
35,-500.0,1
36,-500.0,1
37,-500.0,1
38,-500.0,1
39,-500.0,1
40,-500.0,1
41,-500.0,1
42,-500.0,1
43,-500.0,1
44,-500.0,1
45,-500.0,1
46,-500.0,1
47,-500.0,1
48,-500.0,1
49,-500.0,1
50,-500.0,1
51,-500.0,1
52,-500.0,1
53,-500.0,1
54,-500.0,1
55,-500.0,1
56,-500.0,1
57,-500.0,1
58,-500.0,1
59,-500.0,1
60,-500.0,1
61,-500.0,1
62,-500.0,1
63,-500.0,1
64,-500.0,1
65,-500.0,1
66,-500.0,1
67,-500.0,1
68,-500.0,1
69,-500.0,1
70,-500.0,1
71,-500.0,1
72,-500.0,1
73,-500.0,1
74,-500.0,1
75,-500.0,1
76,-500.0,1
77,-500.0,1
78,-500.0,1
79,-500.0,1
80,-500.0,1
81,-500.0,1
82,-500.0,1
83,-500.0,1
84,-500.0,1
85,-500.0,1
86,-500.0,1
87,-500.0,1
88,-500.0,1
89,-500.0,1
90,-500.0,1
91,-500.0,1
92,-500.0,1
93,-500.0,1
94,-500.0,1
95,-500.0,1
96,-500.0,1
97,-500.0,1
98,-500.0,1
99,-500.0,1
100,-500.0,1
101,-500.0,1
102,-500.0,1
103,-500.0,1
104,-500.0,1
105,-500.0,1
106,-500.0,1
107,-500.0,1
108,-500.0,1
109,-500.0,1
110,-500.0,1
111,-500.0,1
112,-500.0,1
113,-500.0,1
114,-500.0,1
115,-500.0,1
116,-500.0,1
117,-500.0,1
118,-500.0,1
119,-500.0,1
120,-500.0,1
121,-500.0,1
122,-500.0,1
123,-500.0,1
124,-500.0,1
125,-500.0,1
126,-500.0,1
127,-500.0,1
128,-500.0,1
129,-500.0,1
130,-500.0,1
131,-500.0,1
132,-500.0,1
133,-500.0,1
134,-500.0,1
135,-500.0,1
136,-500.0,1
137,-500.0,1
138,-500.0,1
139,-500.0,1
140,-500.0,1
141,-500.0,1
142,-500.0,1
143,-500.0,1
144,-500.0,1
145,-500.0,1
146,-500.0,1
147,-500.0,1
148,-500.0,1
149,-500.0,1
150,-500.0,1
151,-500.0,1
152,-500.0,1
153,-500.0,1
154,-500.0,1
155,-500.0,1
156,-500.0,1
157,-500.0,1
158,-500.0,1
159,-500.0,1
160,-500.0,1
161,-500.0,1
162,-500.0,1
163,-500.0,1
164,-343.0,1
165,-345.0,1
166,-500.0,1
167,-500.0,1
168,-500.0,1
169,-500.0,1
170,-500.0,1
171,-500.0,1
172,-500.0,1
173,-500.0,1
174,-500.0,1
175,-500.0,1
176,-500.0,1
177,-500.0,1
178,-500.0,1
179,-500.0,1
180,-500.0,1
181,-500.0,1
182,-500.0,1
183,-500.0,1
184,-500.0,1
185,-500.0,1
186,-275.0,1
187,-500.0,1
188,-500.0,1
189,-500.0,1
190,-306.0,1
191,-500.0,1
192,-500.0,1
193,-500.0,1
194,-500.0,1
195,-285.0,1
196,-500.0,1
197,-324.0,1
198,-500.0,1
199,-500.0,1
200,-390.0,1
201,-500.0,1
202,-500.0,1
203,-500.0,1
204,-500.0,1
205,-500.0,1
206,-500.0,1
207,-500.0,1
208,-500.0,1
209,-358.0,1
210,-500.0,1
211,-500.0,1
212,-500.0,1
213,-500.0,1
214,-500.0,1
215,-500.0,1
216,-500.0,1
217,-500.0,1
218,-500.0,1
219,-500.0,1
220,-232.0,1
221,-500.0,1
222,-500.0,1
223,-500.0,1
224,-368.0,1
225,-500.0,1
226,-500.0,1
227,-204.0,1
228,-500.0,1
229,-380.0,1
230,-262.0,1
231,-344.0,1
232,-500.0,1
233,-251.0,1
234,-500.0,1
235,-138.0,1
236,-500.0,1
237,-250.0,1
238,-500.0,1
239,-500.0,1
240,-500.0,1
241,-258.0,1
242,-350.0,1
243,-173.0,1
244,-287.0,1
245,-500.0,1
246,-500.0,1
247,-500.0,1
248,-500.0,1
249,-381.0,1
250,-500.0,1
251,-500.0,1
252,-500.0,1
253,-317.0,1
254,-500.0,1
255,-500.0,1
256,-500.0,1
257,-162.0,1
258,-500.0,1
259,-246.0,1
260,-500.0,1
261,-500.0,1
262,-500.0,1
263,-500.0,1
264,-500.0,1
265,-500.0,1
266,-500.0,1
267,-500.0,1
268,-500.0,1
269,-500.0,1
270,-500.0,1
271,-500.0,1
272,-338.0,1
273,-303.0,1
274,-500.0,1
275,-500.0,1
276,-296.0,1
277,-267.0,1
278,-500.0,1
279,-500.0,1
280,-500.0,1
281,-500.0,1
282,-500.0,1
283,-181.0,1
284,-500.0,1
285,-500.0,1
286,-500.0,1
287,-368.0,1
288,-500.0,1
289,-500.0,1
290,-500.0,1
291,-500.0,1
292,-500.0,1
293,-398.0,1
294,-500.0,1
295,-500.0,1
296,-500.0,1
297,-190.0,1
298,-500.0,1
299,-379.0,1
300,-500.0,1
301,-500.0,1
302,-500.0,1
303,-222.0,1
304,-500.0,1
305,-500.0,1
306,-500.0,1
307,-500.0,1
308,-500.0,1
309,-500.0,1
310,-500.0,1
311,-500.0,1
312,-500.0,1
313,-500.0,1
314,-500.0,1
315,-500.0,1
316,-500.0,1
317,-500.0,1
318,-500.0,1
319,-379.0,1
320,-500.0,1
321,-500.0,1
322,-500.0,1
323,-345.0,1
324,-307.0,1
325,-255.0,1
326,-257.0,1
327,-337.0,1
328,-500.0,1
329,-356.0,1
330,-278.0,1
331,-500.0,1
332,-152.0,1
333,-500.0,1
334,-375.0,1
335,-341.0,1
336,-500.0,1
337,-139.0,1
338,-292.0,1
339,-154.0,1
340,-120.0,1
341,-112.0,1
342,-246.0,1
343,-239.0,1
344,-342.0,1
345,-230.0,1
346,-150.0,1
347,-187.0,1
348,-256.0,1
349,-319.0,1
350,-278.0,1
351,-318.0,1
352,-179.0,1
353,-144.0,1
354,-255.0,1
355,-336.0,1
356,-113.0,1
357,-239.0,1
358,-500.0,1
359,-245.0,1
360,-246.0,1
361,-238.0,1
362,-145.0,1
363,-146.0,1
364,-149.0,1
365,-186.0,1
366,-164.0,1
367,-147.0,1
368,-173.0,1
369,-57.0,1
370,-69.0,1
371,-143.0,1
372,-144.0,1
373,-144.0,1
374,-145.0,1
375,-154.0,1
376,-500.0,1
377,-197.0,1
378,-137.0,1
379,-277.0,1
380,-180.0,1
381,-353.0,1
382,-214.0,1
383,-170.0,1
384,-151.0,1
385,-234.0,1
386,-159.0,1
387,-288.0,1
388,-327.0,1
389,-500.0,1
390,-500.0,1
391,-153.0,1
392,-500.0,1
393,-291.0,1
394,-244.0,1
395,-275.0,1
396,-263.0,1
397,-241.0,1
398,-500.0,1
399,-138.0,1
400,-193.0,1
401,-332.0,1
402,-61.0,1
403,-198.0,1
404,-126.0,1
405,-233.0,1
406,-361.0,1
407,-500.0,1
408,-134.0,1
409,-145.0,1
410,-211.0,1
411,-129.0,1
