Episode,Reward,Run
1,-500.0,0
2,-500.0,0
3,-500.0,0
4,-500.0,0
5,-500.0,0
6,-500.0,0
7,-500.0,0
8,-500.0,0
9,-500.0,0
10,-500.0,0
11,-500.0,0
12,-500.0,0
13,-500.0,0
14,-500.0,0
15,-500.0,0
16,-500.0,0
17,-500.0,0
18,-500.0,0
19,-500.0,0
20,-500.0,0
21,-500.0,0
22,-500.0,0
23,-500.0,0
24,-500.0,0
25,-500.0,0
26,-500.0,0
27,-500.0,0
28,-500.0,0
29,-500.0,0
30,-500.0,0
31,-500.0,0
32,-500.0,0
33,-500.0,0
34,-500.0,0
35,-500.0,0
36,-500.0,0
37,-500.0,0
38,-500.0,0
39,-500.0,0
40,-500.0,0
41,-500.0,0
42,-500.0,0
43,-500.0,0
44,-500.0,0
45,-500.0,0
46,-500.0,0
47,-500.0,0
48,-500.0,0
49,-500.0,0
50,-500.0,0
51,-500.0,0
52,-500.0,0
53,-500.0,0
54,-500.0,0
55,-500.0,0
56,-500.0,0
57,-500.0,0
58,-500.0,0
59,-500.0,0
60,-500.0,0
61,-500.0,0
62,-500.0,0
63,-500.0,0
64,-500.0,0
65,-500.0,0
66,-500.0,0
67,-500.0,0
68,-500.0,0
69,-500.0,0
70,-500.0,0
71,-500.0,0
72,-500.0,0
73,-500.0,0
74,-500.0,0
75,-500.0,0
76,-500.0,0
77,-500.0,0
78,-500.0,0
79,-500.0,0
80,-500.0,0
81,-500.0,0
82,-500.0,0
83,-500.0,0
84,-500.0,0
85,-500.0,0
86,-500.0,0
87,-500.0,0
88,-500.0,0
89,-500.0,0
90,-500.0,0
91,-500.0,0
92,-500.0,0
93,-500.0,0
94,-500.0,0
95,-500.0,0
96,-500.0,0
97,-500.0,0
98,-500.0,0
99,-500.0,0
100,-500.0,0
101,-500.0,0
102,-500.0,0
103,-500.0,0
104,-500.0,0
105,-500.0,0
106,-500.0,0
107,-500.0,0
108,-500.0,0
109,-500.0,0
110,-500.0,0
111,-500.0,0
112,-500.0,0
113,-500.0,0
114,-500.0,0
115,-500.0,0
116,-500.0,0
117,-500.0,0
118,-500.0,0
119,-500.0,0
120,-500.0,0
121,-500.0,0
122,-500.0,0
123,-500.0,0
124,-500.0,0
125,-500.0,0
126,-500.0,0
127,-500.0,0
128,-500.0,0
129,-500.0,0
130,-500.0,0
131,-500.0,0
132,-500.0,0
133,-500.0,0
134,-500.0,0
135,-500.0,0
136,-500.0,0
137,-500.0,0
138,-500.0,0
139,-500.0,0
140,-500.0,0
141,-500.0,0
142,-500.0,0
143,-500.0,0
144,-500.0,0
145,-500.0,0
146,-500.0,0
147,-500.0,0
148,-500.0,0
149,-500.0,0
150,-500.0,0
151,-500.0,0
152,-500.0,0
153,-500.0,0
154,-500.0,0
155,-218.0,0
156,-500.0,0
157,-500.0,0
158,-500.0,0
159,-364.0,0
160,-500.0,0
161,-500.0,0
162,-500.0,0
163,-500.0,0
164,-500.0,0
165,-500.0,0
166,-500.0,0
167,-500.0,0
168,-500.0,0
169,-198.0,0
170,-500.0,0
171,-355.0,0
172,-500.0,0
173,-500.0,0
174,-500.0,0
175,-500.0,0
176,-500.0,0
177,-500.0,0
178,-227.0,0
179,-500.0,0
180,-396.0,0
181,-500.0,0
182,-500.0,0
183,-500.0,0
184,-500.0,0
185,-500.0,0
186,-500.0,0
187,-500.0,0
188,-500.0,0
189,-371.0,0
190,-500.0,0
191,-500.0,0
192,-500.0,0
193,-272.0,0
194,-500.0,0
195,-500.0,0
196,-324.0,0
197,-500.0,0
198,-310.0,0
199,-226.0,0
200,-500.0,0
201,-500.0,0
202,-500.0,0
203,-500.0,0
204,-500.0,0
205,-500.0,0
206,-500.0,0
207,-500.0,0
208,-500.0,0
209,-500.0,0
210,-500.0,0
211,-500.0,0
212,-500.0,0
213,-500.0,0
214,-500.0,0
215,-355.0,0
216,-500.0,0
217,-500.0,0
218,-500.0,0
219,-500.0,0
220,-319.0,0
221,-500.0,0
222,-235.0,0
223,-500.0,0
224,-500.0,0
225,-500.0,0
226,-500.0,0
227,-313.0,0
228,-500.0,0
229,-500.0,0
230,-500.0,0
231,-500.0,0
232,-500.0,0
233,-500.0,0
234,-500.0,0
235,-500.0,0
236,-309.0,0
237,-500.0,0
238,-500.0,0
239,-500.0,0
240,-500.0,0
241,-500.0,0
242,-500.0,0
243,-500.0,0
244,-500.0,0
245,-500.0,0
246,-366.0,0
247,-500.0,0
248,-500.0,0
249,-500.0,0
250,-500.0,0
251,-500.0,0
252,-500.0,0
253,-307.0,0
254,-146.0,0
255,-500.0,0
256,-500.0,0
257,-305.0,0
258,-249.0,0
259,-500.0,0
260,-500.0,0
261,-228.0,0
262,-500.0,0
263,-253.0,0
264,-500.0,0
265,-500.0,0
266,-500.0,0
267,-500.0,0
268,-500.0,0
269,-500.0,0
270,-500.0,0
271,-500.0,0
272,-500.0,0
273,-500.0,0
274,-500.0,0
275,-500.0,0
276,-500.0,0
277,-500.0,0
278,-500.0,0
279,-500.0,0
280,-500.0,0
281,-500.0,0
282,-248.0,0
283,-381.0,0
284,-500.0,0
285,-500.0,0
286,-500.0,0
287,-500.0,0
288,-347.0,0
289,-500.0,0
290,-500.0,0
291,-339.0,0
292,-500.0,0
293,-500.0,0
294,-500.0,0
295,-278.0,0
296,-294.0,0
297,-206.0,0
298,-500.0,0
299,-500.0,0
300,-500.0,0
301,-500.0,0
302,-500.0,0
303,-500.0,0
304,-500.0,0
305,-500.0,0
306,-500.0,0
307,-500.0,0
308,-500.0,0
309,-323.0,0
310,-354.0,0
311,-500.0,0
312,-392.0,0
313,-500.0,0
314,-500.0,0
315,-253.0,0
316,-194.0,0
317,-313.0,0
318,-500.0,0
319,-396.0,0
320,-500.0,0
321,-500.0,0
322,-183.0,0
323,-274.0,0
324,-222.0,0
325,-324.0,0
326,-500.0,0
327,-161.0,0
328,-241.0,0
329,-500.0,0
330,-190.0,0
331,-198.0,0
332,-247.0,0
333,-500.0,0
334,-500.0,0
335,-153.0,0
336,-500.0,0
337,-500.0,0
338,-500.0,0
339,-500.0,0
340,-250.0,0
341,-500.0,0
342,-500.0,0
343,-388.0,0
344,-500.0,0
345,-291.0,0
346,-345.0,0
347,-266.0,0
348,-240.0,0
349,-500.0,0
350,-500.0,0
351,-155.0,0
352,-500.0,0
353,-500.0,0
354,-243.0,0
355,-500.0,0
356,-500.0,0
357,-305.0,0
358,-368.0,0
359,-213.0,0
360,-153.0,0
361,-264.0,0
362,-500.0,0
363,-209.0,0
364,-368.0,0
365,-500.0,0
366,-500.0,0
367,-500.0,0
368,-337.0,0
369,-500.0,0
370,-500.0,0
371,-500.0,0
372,-500.0,0
373,-500.0,0
374,-500.0,0
375,-500.0,0
376,-500.0,0
377,-500.0,0
378,-500.0,0
379,-500.0,0
380,-500.0,0
381,-500.0,0
382,-500.0,0
383,-158.0,0
384,-500.0,0
385,-336.0,0
386,-97.0,0
387,-500.0,0
388,-500.0,0
389,-500.0,0
390,-270.0,0
391,-153.0,0
392,-192.0,0
393,-126.0,0
394,-328.0,0
395,-145.0,0
396,-168.0,0
397,-64.0,0
398,-218.0,0
399,-500.0,0
400,-141.0,0
401,-187.0,0
402,-156.0,0
403,-500.0,0
404,-286.0,0
405,-500.0,0
406,-257.0,0
407,-132.0,0
408,-101.0,0
409,-500.0,0
410,-217.0,0
411,-315.0,0
412,-320.0,0
413,-201.0,0
414,-213.0,0
415,-392.0,0
416,-156.0,0
417,-244.0,0
418,-256.0,0
419,-500.0,0
420,-235.0,0
421,-205.0,0
422,-378.0,0
423,-140.0,0
424,-243.0,0
425,-326.0,0
426,-270.0,0
427,-152.0,0
428,-245.0,0
429,-258.0,0
430,-257.0,0
431,-149.0,0
432,-159.0,0
433,-135.0,0
434,-209.0,0
435,-235.0,0
436,-500.0,0
437,-143.0,0
438,-164.0,0
439,-153.0,0
440,-264.0,0
441,-154.0,0
442,-241.0,0
443,-158.0,0
444,-147.0,0
445,-500.0,0
446,-299.0,0
447,-147.0,0
448,-388.0,0
449,-231.0,0
450,-500.0,0
451,-302.0,0
452,-184.0,0
453,-500.0,0
454,-500.0,0
455,-500.0,0
456,-194.0,0
457,-171.0,0
458,-500.0,0
459,-243.0,0
460,-334.0,0
461,-358.0,0
462,-500.0,0
463,-500.0,0
464,-500.0,0
465,-500.0,0
466,-500.0,0
467,-500.0,0
468,-500.0,0
469,-500.0,0
470,-500.0,0
471,-500.0,0
472,-500.0,0
473,-500.0,0
474,-500.0,0
475,-342.0,0
476,-216.0,0
477,-157.0,0
478,-500.0,0
479,-500.0,0
480,-354.0,0
481,-500.0,0
482,-280.0,0
483,-336.0,0
484,-500.0,0
485,-330.0,0
486,-307.0,0
487,-208.0,0
488,-390.0,0
489,-157.0,0
490,-362.0,0
491,-150.0,0
492,-500.0,0
493,-337.0,0
494,-500.0,0
495,-500.0,0
496,-236.0,0
497,-330.0,0
498,-175.0,0
499,-206.0,0
500,-185.0,0
501,-500.0,0
502,-500.0,0
503,-396.0,0
504,-165.0,0
505,-143.0,0
506,-270.0,0
507,-500.0,0
508,-155.0,0
509,-341.0,0
510,-204.0,0
511,-500.0,0
512,-500.0,0
513,-281.0,0
514,-184.0,0
515,-309.0,0
516,-153.0,0
517,-236.0,0
518,-187.0,0
519,-227.0,0
520,-122.0,0
521,-155.0,0
522,-162.0,0
523,-157.0,0
524,-133.0,0
525,-225.0,0
526,-500.0,0
527,-323.0,0
528,-500.0,0
529,-500.0,0
530,-77.0,0
531,-289.0,0
532,-167.0,0
533,-394.0,0
534,-103.0,0
535,-172.0,0
536,-314.0,0
537,-500.0,0
538,-282.0,0
539,-111.0,0
540,-235.0,0
541,-173.0,0
542,-190.0,0
543,-59.0,0
544,-193.0,0
545,-196.0,0
546,-146.0,0
547,-177.0,0
548,-92.0,0
549,-171.0,0
550,-117.0,0
551,-95.0,0
552,-96.0,0
553,-81.0,0
554,-74.0,0
555,-174.0,0
556,-256.0,0
557,-86.0,0
558,-80.0,0
559,-304.0,0
560,-66.0,0
561,-269.0,0
562,-100.0,0
563,-81.0,0
564,-75.0,0
565,-500.0,0
566,-367.0,0
567,-67.0,0
568,-500.0,0
569,-500.0,0
570,-178.0,0
571,-130.0,0
572,-301.0,0
573,-74.0,0
574,-500.0,0
575,-72.0,0
576,-346.0,0
577,-165.0,0
578,-137.0,0
579,-157.0,0
580,-500.0,0
581,-500.0,0
582,-500.0,0
583,-267.0,0
584,-500.0,0
585,-181.0,0
586,-252.0,0
587,-500.0,0
588,-500.0,0
589,-500.0,0
590,-500.0,0
591,-500.0,0
592,-500.0,0
593,-500.0,0
594,-500.0,0
595,-500.0,0
596,-500.0,0
597,-500.0,0
598,-500.0,0
599,-500.0,0
600,-500.0,0
601,-158.0,0
602,-500.0,0
603,-96.0,0
604,-500.0,0
605,-381.0,0
606,-329.0,0
607,-500.0,0
608,-220.0,0
609,-500.0,0
610,-364.0,0
611,-500.0,0
612,-500.0,0
613,-500.0,0
614,-282.0,0
615,-273.0,0
616,-393.0,0
617,-500.0,0
618,-500.0,0
619,-229.0,0
620,-132.0,0
621,-71.0,0
622,-250.0,0
623,-500.0,0
624,-93.0,0
625,-500.0,0
626,-228.0,0
627,-500.0,0
628,-166.0,0
629,-500.0,0
630,-161.0,0
631,-500.0,0
632,-178.0,0
633,-106.0,0
634,-500.0,0
635,-251.0,0
636,-68.0,0
637,-139.0,0
638,-72.0,0
639,-255.0,0
640,-167.0,0
641,-62.0,0
642,-143.0,0
643,-181.0,0
644,-137.0,0
645,-207.0,0
646,-152.0,0
647,-500.0,0
648,-139.0,0
649,-71.0,0
650,-149.0,0
651,-72.0,0
652,-71.0,0
653,-140.0,0
654,-135.0,0
655,-500.0,0
656,-95.0,0
657,-163.0,0
658,-199.0,0
659,-190.0,0
660,-181.0,0
661,-59.0,0
662,-70.0,0
663,-189.0,0
664,-93.0,0
665,-138.0,0
666,-191.0,0
667,-70.0,0
668,-68.0,0
669,-149.0,0
670,-188.0,0
671,-246.0,0
672,-172.0,0
673,-500.0,0
674,-152.0,0
675,-76.0,0
676,-147.0,0
677,-162.0,0
678,-222.0,0
679,-76.0,0
680,-68.0,0
681,-189.0,0
682,-500.0,0
683,-135.0,0
684,-63.0,0
685,-145.0,0
686,-397.0,0
687,-67.0,0
688,-171.0,0
689,-109.0,0
690,-198.0,0
691,-151.0,0
692,-143.0,0
693,-219.0,0
694,-242.0,0
695,-211.0,0
696,-166.0,0
697,-149.0,0
698,-125.0,0
699,-196.0,0
700,-222.0,0
701,-240.0,0
702,-500.0,0
703,-133.0,0
704,-68.0,0
705,-131.0,0
706,-263.0,0
707,-142.0,0
708,-73.0,0
709,-199.0,0
710,-134.0,0
711,-73.0,0
712,-252.0,0
713,-71.0,0
714,-82.0,0
715,-181.0,0
716,-68.0,0
717,-129.0,0
718,-68.0,0
719,-65.0,0
720,-134.0,0
721,-160.0,0
722,-332.0,0
723,-144.0,0
724,-60.0,0
725,-198.0,0
726,-163.0,0
727,-168.0,0
728,-183.0,0
729,-82.0,0
730,-65.0,0
731,-63.0,0
732,-129.0,0
733,-58.0,0
734,-64.0,0
735,-136.0,0
736,-147.0,0
737,-217.0,0
738,-130.0,0
739,-143.0,0
740,-157.0,0
741,-242.0,0
742,-69.0,0
743,-135.0,0
744,-62.0,0
745,-137.0,0
746,-500.0,0
747,-149.0,0
748,-318.0,0
749,-349.0,0
750,-137.0,0
751,-130.0,0
752,-179.0,0
753,-112.0,0
754,-249.0,0
755,-145.0,0
756,-225.0,0
757,-245.0,0
758,-125.0,0
759,-121.0,0
760,-324.0,0
761,-238.0,0
762,-132.0,0
763,-216.0,0
764,-219.0,0
765,-223.0,0
766,-202.0,0
767,-124.0,0
768,-143.0,0
769,-119.0,0
770,-217.0,0
771,-120.0,0
772,-114.0,0
773,-120.0,0
774,-55.0,0
775,-305.0,0
776,-129.0,0
777,-78.0,0
778,-500.0,0
779,-59.0,0
780,-172.0,0
781,-161.0,0
782,-130.0,0
783,-130.0,0
784,-119.0,0
785,-112.0,0
786,-120.0,0
787,-126.0,0
788,-170.0,0
789,-180.0,0
790,-119.0,0
791,-69.0,0
792,-142.0,0
793,-225.0,0
794,-122.0,0
795,-187.0,0
796,-168.0,0
797,-117.0,0
798,-66.0,0
799,-176.0,0
800,-187.0,0
801,-108.0,0
802,-63.0,0
803,-130.0,0
804,-110.0,0
805,-115.0,0
806,-175.0,0
807,-210.0,0
808,-149.0,0
809,-128.0,0
810,-121.0,0
811,-121.0,0
812,-68.0,0
813,-196.0,0
814,-215.0,0
815,-500.0,0
816,-194.0,0
817,-123.0,0
818,-142.0,0
819,-195.0,0
820,-145.0,0
821,-113.0,0
822,-250.0,0
823,-59.0,0
824,-211.0,0
825,-195.0,0
826,-121.0,0
827,-187.0,0
828,-135.0,0
829,-222.0,0
830,-127.0,0
831,-202.0,0
832,-208.0,0
833,-185.0,0
834,-283.0,0
835,-198.0,0
836,-113.0,0
837,-258.0,0
838,-236.0,0
839,-141.0,0
840,-116.0,0
841,-112.0,0
842,-165.0,0
843,-203.0,0
844,-156.0,0
845,-194.0,0
846,-294.0,0
847,-500.0,0
848,-147.0,0
849,-115.0,0
850,-201.0,0
851,-272.0,0
852,-500.0,0
853,-500.0,0
854,-108.0,0
855,-138.0,0
856,-190.0,0
857,-150.0,0
858,-179.0,0
859,-122.0,0
860,-134.0,0
861,-500.0,0
862,-343.0,0
863,-72.0,0
864,-88.0,0
865,-110.0,0
866,-62.0,0
867,-60.0,0
868,-163.0,0
869,-57.0,0
870,-76.0,0
871,-225.0,0
872,-133.0,0
873,-73.0,0
874,-70.0,0
875,-61.0,0
876,-140.0,0
877,-63.0,0
878,-209.0,0
879,-157.0,0
880,-68.0,0
881,-112.0,0
882,-64.0,0
883,-117.0,0
884,-65.0,0
885,-61.0,0
886,-61.0,0
887,-82.0,0
888,-59.0,0
889,-79.0,0
890,-65.0,0
